mysqladmin -P3306 -uroot -p -h127.0.0.1 -r -i 1 extended-status
+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                 | Value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Com_do                                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_db                                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_event                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_function                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_index                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_procedure                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_server                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_table                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_trigger                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_user                                 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_drop_view                                 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_empty_query                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_execute_sql                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_explain_other                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_flush                                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_get_diagnostics                           | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_grant                                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_ha_close                                  | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_ha_open                                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_ha_read                                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
