mysqladmin -P3306 -uroot -p -h127.0.0.1 -r -i 1 extended-status
+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Variable_name                                 | Value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| Com_replace                                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_replace_select                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_reset                                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_resignal                                  | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_revoke                                    | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_revoke_all                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_rollback                                  | 2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_rollback_to_savepoint                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_savepoint                                 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_select                                    | 97                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_set_option                                | 23                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_signal                                    | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_binlog_events                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_binlogs                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_charsets                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_collations                           | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_create_db                            | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_create_event                         | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_create_func                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_create_proc                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_create_table                         | 22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_show_create_trigger                       | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_databases                            | 8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_engine_logs                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_engine_mutex                         | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_engine_status                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_events                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_errors                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_fields                               | 22                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_show_function_code                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_function_status                      | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_grants                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_keys                                 | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_master_status                        | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_open_tables                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_plugins                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_privileges                           | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_procedure_code                       | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_procedure_status                     | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_processlist                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_profile                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_profiles                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_relaylog_events                      | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_slave_hosts                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_slave_status                         | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_status                               | 34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_show_storage_engines                      | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_table_status                         | 30                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| Com_show_tables                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_triggers                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_variables                            | 8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_warnings                             | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_show_create_user                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_shutdown                                  | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_slave_start                               | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_slave_stop                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_group_replication_start                   | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_group_replication_stop                    | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_stmt_execute                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_stmt_close                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_stmt_fetch                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_stmt_prepare                              | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_stmt_reset                                | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_stmt_send_long_data                       | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_truncate                                  | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| Com_uninstall_plugin                          | 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
